vendor_id,calls,answered,avg_duration,contact_rate,vendor_name,schema_version
VND0000001,5798,1124,448.63418420144876,0.19385995170748535,Airtel,v3
VND0000002,5735,1128,444.2959023539669,0.19668700959023538,Exotel,v3
VND0000003,5742,1151,454.0985719261581,0.20045280390107975,Twilio,v3
VND0000004,5708,1114,450.53311142256484,0.1951646811492642,Twilio,v1
VND0000005,5830,1137,453.1384219554031,0.19502572898799314,Twilio,v1
VND0000006,5680,1185,450.3691901408451,0.20862676056338028,Knowlarity,v2
VND0000007,5853,1137,445.01400990944813,0.19425935417734494,TataTele,v1
VND0000008,5689,1125,448.3237827386184,0.19775004394445422,Airtel,v3
VND0000009,5790,1111,451.88203799654576,0.1918825561312608,Exotel,v1
VND0000010,5941,1211,453.0313078606295,0.20383773775458677,Airtel,v1
VND0000011,5842,1179,450.36032180760014,0.20181444710715507,Airtel,v3
VND0000012,5808,1130,452.22555096418733,0.19455922865013775,Airtel,v1
VND0000013,5693,1148,453.41753030036887,0.20165115053574564,Knowlarity,v1
VND0000014,5814,1215,452.24905400756796,0.2089783281733746,Knowlarity,v3
VND0000015,5866,1155,454.8799863620866,0.19689737470167065,TataTele,v2
